#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,link,desc
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False,https://img.pokemondb.net/sprites/home/normal/bulbasaur.png,"Bulbasaur is a small, quadrupedal amphibian Pokémon that has blue-green skin with darker patches. It has red eyes with white pupils, pointed, ear-like structures on top of its head, and a short, blunt snout with a wide mouth. A pair of small, pointed teeth are visible in the upper jaw when its mouth is open. Each of its thick legs ends with three sharp claws. On Bulbasaur's back is a green plant bulb that conceals two slender, tentacle-like vines, which is grown from a seed planted there at birth. The bulb also provides it with energy through photosynthesis as well as from the nutrient-rich seeds contained within.
"
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False,https://img.pokemondb.net/sprites/home/normal/ivysaur.png,"Ivysaur is a quadrupedal amphibian Pokémon that has blue-green skin with darker patches. On top of its head are pointed ears with black insides and it has narrow red eyes. Ivysaur has a short, rounded snout with a wide mouth and two pointed teeth in its upper jaw. Each of its feet has three claws on them. The bulb on its back has bloomed into a large pink bud. A short brown trunk surrounded by leafy green fronds supports the bud.
"
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False,https://img.pokemondb.net/sprites/home/normal/venusaur.png,"Venusaur is a squat, quadrupedal amphibian Pokémon with bumpy, blue-green skin. It has small, circular red eyes and a short, blunt snout. Its mouth is wide with two pointed teeth in the upper jaw and four in the lower jaw. On top of its head are small, pointed ears with reddish pink insides. It has three clawed toes on each foot. The bud on its back has bloomed into a large pink, white-spotted flower. The flower is supported by a thick, brown trunk surrounded by green fronds. A female Venusaur has a seed in the center of its flower.
"
3,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,False,https://img.pokemondb.net/sprites/home/normal/venusaur-mega.png,
4,Charmander,Fire,,309,39,52,43,60,50,65,1,False,https://img.pokemondb.net/sprites/home/normal/charmander.png,"Charmander is a bipedal, reptilian Pokémon with a primarily orange body and blue eyes. Its underside from the chest down and the soles of its feet are cream-colored. It has two small fangs visible in its upper jaw and two smaller fangs in its lower jaw. A fire burns at the tip of this Pokémon's slender tail and has blazed there since Charmander's birth. The flame can be used as an indication of Charmander's health and mood, burning brightly when the Pokémon is strong, weakly when it is exhausted, wavering when it is happy, and blazing when it is enraged. It is said that Charmander would die if its flame were to go out. However, if the Pokémon is healthy, the flame will continue to burn even if it gets a bit wet and is said to steam in the rain.
"
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False,https://img.pokemondb.net/sprites/home/normal/charmeleon.png,"Charmeleon is a bipedal, reptilian Pokémon. It has dark red scales and a cream underside from the chest down. It has blue eyes and a long snout with a slightly hooked tip. On the back of its head is a single horn-like protrusion. It has relatively long arms with three sharp claws. Its short legs have plantigrade feet with three claws and cream-colored soles. The tip of its long, powerful tail has a flame burning on it. The temperature rises to unbearable levels if Charmeleon swings its tail.
"
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False,https://img.pokemondb.net/sprites/home/normal/charizard.png,"Charizard is a draconic, bipedal Pokémon. It is primarily orange with a cream underside from the chest to the tip of its tail. It has a long neck, small blue eyes, slightly raised nostrils, and two horn-like structures protruding from the back of its rectangular head. There are two fangs visible in its upper jaw when its mouth is closed. Two large wings with blue-green undersides sprout from its back, and a horn-like appendage juts out from the top of the third joint of each wing. A single wing-finger is visible through the center of each wing membrane. Charizard's arms are short and skinny compared to its robust belly, and each limb has three white claws. It has stocky legs with cream-colored soles on each of its plantigrade feet. The tip of its long, tapering tail burns with a sizable flame.
"
6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False,https://img.pokemondb.net/sprites/home/normal/charizard-mega-x.png,
6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False,https://img.pokemondb.net/sprites/home/normal/charizard-mega-y.png,
7,Squirtle,Water,,314,44,48,65,50,64,43,1,False,https://img.pokemondb.net/sprites/home/normal/squirtle.png,"Squirtle is a small reptilian Pokémon that resembles a light-blue turtle. While it typically walks on its two short legs, it has been shown to run on all fours in Super Smash Bros. Brawl. It has large, purplish or reddish eyes and a slightly hooked upper lip. Each of its hands and feet have three pointed digits. The end of its long tail curls inward. Its body is encased by a tough shell that forms and hardens after birth. This shell is brown on the top, pale yellow on the bottom, and has a thick white ridge between the two halves.
"
